retweeted_status.possibly_sensitive,retweeted_status.retweet_count,retweeted_status.retweeted,retweeted_status.favorite_count,retweeted_status.geo
false,248,false,400,
false,2,false,0,
,,,,
,,,,
,13,false,17,
false,34,false,50,
false,118,false,159,
false,68,false,97,
false,7,false,4,
false,12,false,11,
,,,,
,,,,
false,1457,false,2101,
false,306,false,436,
,,,,
,,,,
false,46,false,66,
,,,,
false,12,false,10,
,,,,
false,142,false,112,
false,121,false,154,
false,2771,false,5892,
false,8,false,5,
false,8,false,5,
false,1105,false,1312,
false,320,false,198,
false,905,false,905,
false,41,false,21,
false,4,false,3,
,,,,
false,1,false,0,
,,,,
false,1106,false,1312,
,,,,
false,4,false,7,
false,69,false,285,
,14,false,17,
,,,,
,1,false,0,
false,15,false,31,
false,31,false,52,
,,,,
,,,,
,,,,
false,8,false,0,
false,32,false,23,
false,110,false,126,
false,47,false,67,
false,2772,false,5888,
,,,,
false,241,false,207,
,,,,
,,,,
,,,,
,,,,
false,3,false,2,
false,204,false,281,
,,,,
,,,,
,,,,
,48,false,19,
false,2,false,1,
,,,,
,,,,
false,35,false,50,
false,206,false,403,
,,,,
,,,,
false,119,false,160,
,,,,
,,,,
false,24,false,24,
false,33,false,23,
false,25,false,24,
false,34,false,23,
,,,,
false,339,false,651,
false,546,false,2213,
false,88,false,132,
,,,,
false,54,false,128,
false,2,false,1,
false,66,false,76,
,,,,
,,,,
,,,,
,68,false,7,
,,,,
,,,,
,,,,
false,175,false,260,
,,,,
,,,,
false,496,false,517,
,,,,
false,111,false,127,
,,,,
false,30,false,36,
,,,,
,,,,
,,,,
,1,false,0,
,,,,
false,70,false,289,
false,321,false,198,
,,,,
,,,,
,,,,
false,9,false,5,
false,8,false,12,
false,4,false,2,
false,31,false,36,
false,120,false,161,
,,,,
,1,false,2,
,,,,
,,,,
,,,,
false,4,false,25,
,,,,
false,143,false,112,
,,,,
false,121,false,160,
,91,false,173,
,,,,
false,21,false,15,
false,322,false,198,
,,,,
,2,false,4,
false,1,false,0,
,,,,
false,1,false,0,
false,2,false,0,
false,257,false,285,
false,42,false,22,
false,112,false,128,
false,457,false,821,
false,35,false,23,
false,103,false,155,
,,,,
,,,,
false,144,false,113,
,,,,
false,1,false,1,
false,51,false,131,
,,,,
false,205,false,282,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
false,9,false,11,
false,125,false,113,
false,139,false,211,
,,,,
,,,,
false,12,false,4,
,,,,
,,,,
,,,,
false,9209,false,6015,
,,,,
false,36,false,24,
,,,,
true,1676,false,1647,
false,1,false,0,
,,,,
,,,,
,,,,
false,9,false,6,
,,,,
false,78,false,149,
,,,,
false,122,false,162,
,,,,
,,,,
,,,,
false,22,false,57,
false,122,false,154,
,,,,
,,,,
,,,,
,15,false,30,
false,1,false,0,
,65,false,140,
,,,,
false,3,false,2,
false,126,false,114,
false,34,false,17,
false,54,false,89,
false,82,false,142,
false,123,false,162,
false,3,false,1,
false,1,false,0,
false,6,false,11,
,,,,
,,,,
false,249,false,403,
false,9,false,13,
false,48,false,98,
false,323,false,198,
,,,,
false,324,false,198,
false,258,false,285,
,,,,
,,,,
,,,,
false,1,false,0,
false,106,false,107,
false,3,false,2,
false,235,false,275,
,,,,
false,124,false,162,
,,,,
false,4,false,2,
,,,,
false,10,false,8,
,,,,
,,,,
false,75,false,73,
false,146,false,115,
false,4,false,10,
,,,,
,,,,
false,259,false,285,
false,1,false,0,
,,,,
false,6,false,3,
,,,,
false,79,false,151,
,13,false,3,
false,80,false,151,
false,1,false,1,
false,43,false,22,
,,,,
false,71,false,291,
,,,,
,,,,
false,12,false,11,
,,,,
false,81,false,152,
,,,,
false,82,false,152,
,,,,
,,,,
false,342,false,499,
false,176,false,261,
false,69,false,98,
false,32,false,37,
false,1,false,2,
,,,,
false,1128,false,709,
,,,,
false,49,false,34,
false,83,false,152,
false,55,false,89,
false,33,false,38,
false,547,false,2218,
false,32,false,53,
false,125,false,163,
false,13,false,4,
false,6,false,2,
false,177,false,262,
false,5,false,4,
false,66,false,163,
,,,,
false,2,false,0,
,1,false,1,
false,70,false,98,
false,1,false,1,
