id_str,possibly_sensitive,favorite_count,geo,text,coordinates
842422300423139328,false,0,,"#DonaldTrump's 🤡 rådgivare #CarlIcahn lobbar nu att ändra regler så dom ska gynna #Icahn... 

Liknar en… https://t.co/J46wW74S2j",
842422300020473857,false,0,,"RT @laurenacooley: Liberals: #Trump didn't pay any taxes

Trump: https://t.co/BQWt6lyuwM",
842422301215866881,false,0,,@AltMuslimah #TheResistance: Stop #Trump by recalling Mayor #Gimenez Sign the #Petition: https://t.co/PO8uBEgqWM https://t.co/Lqs4KR1Nys,
842422302620962817,false,0,,"RT @bocavista2016: Those accusing #Trump of having ties to Russia

Are the ones tied to Russia 

👉Part 6 #McCain

https://t.co/fo0rmwehts
#…",
842422303501737984,false,0,,"RT @immigrant4trump: VIDEO: CNN Host Jake Tapper Admits His 7-Year-Old Son Calls Him ""Fake News"" 👍👍 #maga #trump https://t.co/dYL8syE75J",
842422307767300097,false,0,,The one smart choice #Trump made @nikkihaley is warning #America to be cautious.  #TrumpRussiaCollusion ? https://t.co/3kNcr5HANj,
842422307331158018,false,0,,"@seanhannity New St Patrick's day song, (featuring world-class musicians) https://t.co/wwppUhJ5xd #trump #pence #bannon #potus #trumppence16",
842422310527152128,,0,,@wolfblitzer Or was #tRUMP just Lying again re: CIA Hack? What do we believe? HOW CAN WE TELL?,
842422311126933504,,0,,"RT @DumpTrump22: For a guy who WINS all the time, #Trump Loses EVERY day
- Another #MuslimBan collapsed
- #TrumpCare is a disaster
-… ",
842422311282126848,,0,,"RT @AMERICA_PARTII: What percent of the Liberal LEFT has any sort of personal integrity?

#maga #liblogic #polls #trump #obamagate #tcot #I…",
842422310971822084,false,0,,@aly_panjwani #TheResistance: Stop #Trump by recalling Mayor #Gimenez Sign the #Petition: https://t.co/PO8uBEgqWM https://t.co/Lqs4KR1Nys,
842422310057439234,false,0,,The latest Mexico Review! https://t.co/bjiYvT2GPb Thanks to @mexico_visitor @riv_nayarit #mexico #trump,
842422312091701249,false,0,,Jewish org. calls for Sebastian Gorka's resignation for ties to far-right group https://t.co/YPkMvnzaEf #Trump #Donaldtrump #theresistance,
842422312011997188,false,0,,Mc#Donald's deletes tweet attacking Donald #Trump https://t.co/QqW5CrpO1k,
842422316466356228,false,0,,Honesty is the best policy - when there is money in it. -Mark Twain https://t.co/mL7y38qApw #Quotes #Trump,
842422317229658112,,0,,RT @foreignpolicy77: In 2016 #Putin front #Alphabank made 2800 lookups for #Trump organisation. This was only matched by DeVos' husbands… ,
842422317577863169,false,0,,RT @Global_Exc: El plan de #Trump 👇https://t.co/y1s552DQDO,
842422319909863424,,0,,"RT @POLLiticss: How do you see donald trump's first #budget ??
#Budget2017  #pbs #boycotthawaii 
#trump #trumpbudget 

Vote and retweet 👈👈",
842422320840994816,false,0,,@alyakutik #TheResistance: Stop #Trump by recalling Mayor #Gimenez Sign the #Petition: https://t.co/PO8uBEgqWM https://t.co/Lqs4KR1Nys,
842422324087398407,,0,,RT @AdamNoahWho: If t Al Arabiya's map were edited to focus on Saudi Arabia's illicit funding of terrorism the figures would have to… ,
842422326654296065,,0,,RT @Don_Vito_08: ANOTHER Court Strikes Down #Trump 's @POTUS New Immigration Executive Order #TerrorBan #TravelBan @realDonaldTrump… ,
842422329590218752,,0,,"#Trump’s budget envisions country that is cruel to its vulnerable members, cutting off care &amp; support to its ill, older people, kids &amp; poor.",
842422330253053952,,0,,"RT @LeadStoriesCom: POLL: What do you think of the first budget proposed by the @realDonaldTrump administration?

#Budget2017 #budget #NEA…",
842422330643099648,false,0,,@alyssaroque15 #TheResistance: Stop #Trump by recalling Mayor #Gimenez Sign the #Petition: https://t.co/PO8uBEgqWM https://t.co/Lqs4KR1Nys,
842422331796553728,,0,,Die Väter der Verfassung haben #Trump schon vor 200 Jahren total verarscht!,
842422332757028864,,0,,"RT @Lazulu_OFFICIAL: Does @ciroc #vodka support #rapeculture &amp; threatening women along with rapper @smoss ""Bow-Wow""? #MAGA #Trump… ",
842422333440585728,,0,,"RT @pokerpro23: 🇺🇸🇺🇸#Arrogant #Moron

Apparently @jbarro you learned nothing from @HillaryClinton's #basketofdeplorables comment.… ",
842422333864325120,,0,,RT @MichielBoland: @CNN I'm from Holland and confused. How far are they with impeaching this total failure of a #president? Is it really th…,
842422339564367874,,0,,RT @JaySekulow: The blocking of President #Trump's order by two federal judges represents a fundamental misunderstanding of the First Amend…,
842422340986249219,false,0,,"RT @EWdeVlieger: #Trump #McDonalds Dit gaat volgens mij enorm groot worden 1 ==&gt; https://t.co/heh8Ezxsln

Of ik mis iets.

2 ==&gt; https://t.…",
842422342789799936,,0,,"RT @JaySekulow: President #Trump responds to the blocking of his Exec Order: ""This is an unprecedented judicial overreach."" https://t.co/ZD…",
842422344568135681,,0,,@ThatJoeFelice Notice any overlap between #HouseGOP and #Trump priorities?,
842422340575211521,false,0,,@AMagidB #TheResistance: Stop #Trump by recalling Mayor #Gimenez Sign the #Petition: https://t.co/PO8uBEgqWM https://t.co/Lqs4KR1Nys,
842422348238135296,,0,,RT @KPBSnews: Pres. #Trump has put #California on notice that it’s reconsidering the miles per gallon requirements for vehicles.… ,
842422350016589824,,0,,"RT @AdolescentePuta: Putita montando | Vídeo 4

RT RT RT RT RT RT

#Complaciente #WomensMarch #GotTalent #RipFernandoGodoy #BuenDomingo… ",
842422350033350656,false,0,,@amalny1 #TheResistance: Stop #Trump by recalling Mayor #Gimenez Sign the #Petition: https://t.co/PO8uBEgqWM https://t.co/Lqs4KR1Nys,
842422349869776896,false,0,,#Trump vs #Snoop Dogg -  https://t.co/sspg6vV8YD https://t.co/bRySixLIzt,
842422351480385537,false,0,,RT @EllieGAlways: Pretty in pink 💕 #GRAMMYs https://t.co/a8s2rNUx3c,
842422351702638592,false,0,,RT @KitDaniels1776: ...Says the disgusting fast food chain #McDonalds #tcot #Trump #Trump https://t.co/VhKyc3FSDN,
842422351627083776,false,0,,#ANTM #FlashbackFriday #investing #equity #market #Trump How safe is your IRA?  . https://t.co/HY8hDXkejS,
842422358178701312,,0,,@thedennisnadeau @thehill No? What is the most truth-laid-bare thing #RandPaul said at #Trump as latter rams in Paul/Koch #TeaParty utopia?,
842422359520903170,false,0,,@amaltaf55 #TheResistance: Stop #Trump by recalling Mayor #Gimenez Sign the #Petition: https://t.co/PO8uBEgqWM https://t.co/Lqs4KR1Nys,
842422360347144192,false,0,,"RT @RealAlexJones: .@McDonaldsCorp Show us the email from Twitter proving you were ""compromised"" - https://t.co/SbjBTOtWI4 #imlovingit #Tru…",
842422361353818112,false,0,,Nu zijn de Trumphaters helemaal over de schreef aan het gaan: https://t.co/LGYDtUCZpz #hln #trump,
